2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@52c3cb31
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@4b79ac84
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@53941c2f
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@53941c2f
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@6dab9b6d
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@21fd5faa
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@2766ca9d
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@5460cf3a
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@5460cf3a
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@65a15628
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@2e6a5539
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration date -> org.hibernate.type.BasicTypeReference@3fc9504b
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@3fc9504b
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration time -> org.hibernate.type.BasicTypeReference@6d025197
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@6d025197
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@27d4a09
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@27d4a09
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@27d4a09
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.BasicTypeReference@7e4204e2
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@7e4204e2
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@7e4204e2
