N, M, K, Matrix Type, Method, Type, Thread Count, Output File, Average Execution Time (ms)
1000, 1000, 5, STATIC, DISTRIBUTION, CYCLIC, 2, output_DISTRIBUTION_CYCLIC_1000_1000_5_2_STATIC.txt, 114.38660000000000000000
1000, 1000, 5, STATIC, DISTRIBUTION, CYCLIC, 4, output_DISTRIBUTION_CYCLIC_1000_1000_5_4_STATIC.txt, 95.09626000000000000000
1000, 1000, 5, STATIC, DISTRIBUTION, CYCLIC, 8, output_DISTRIBUTION_CYCLIC_1000_1000_5_8_STATIC.txt, 97.36143000000000000000
1000, 1000, 5, STATIC, DISTRIBUTION, CYCLIC, 16, output_DISTRIBUTION_CYCLIC_1000_1000_5_16_STATIC.txt, 77.38491000000000000000
10, 10000, 5, STATIC, DISTRIBUTION, CYCLIC, 2, output_DISTRIBUTION_CYCLIC_10_10000_5_2_STATIC.txt, 32.03824000000000000000
10, 10000, 5, STATIC, DISTRIBUTION, CYCLIC, 4, output_DISTRIBUTION_CYCLIC_10_10000_5_4_STATIC.txt, 28.34584000000000000000
10, 10000, 5, STATIC, DISTRIBUTION, CYCLIC, 8, output_DISTRIBUTION_CYCLIC_10_10000_5_8_STATIC.txt, 27.26997000000000000000
10, 10000, 5, STATIC, DISTRIBUTION, CYCLIC, 16, output_DISTRIBUTION_CYCLIC_10_10000_5_16_STATIC.txt, 27.18297000000000000000
10000, 10, 5, STATIC, DISTRIBUTION, CYCLIC, 2, output_DISTRIBUTION_CYCLIC_10000_10_5_2_STATIC.txt, 37.93022000000000000000
10000, 10, 5, STATIC, DISTRIBUTION, CYCLIC, 4, output_DISTRIBUTION_CYCLIC_10000_10_5_4_STATIC.txt, 32.10120000000000000000
10000, 10, 5, STATIC, DISTRIBUTION, CYCLIC, 8, output_DISTRIBUTION_CYCLIC_10000_10_5_8_STATIC.txt, 29.12677000000000000000
10000, 10, 5, STATIC, DISTRIBUTION, CYCLIC, 16, output_DISTRIBUTION_CYCLIC_10000_10_5_16_STATIC.txt, 29.23271000000000000000
10, 10, 3, DYNAMIC, DISTRIBUTION, CYCLIC, 4, output_DISTRIBUTION_CYCLIC_10_10_3_4_DYNAMIC.txt, .04393350000000000000
1000, 1000, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 2, output_DISTRIBUTION_CYCLIC_1000_1000_5_2_DYNAMIC.txt, 99.36136000000000000000
1000, 1000, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 4, output_DISTRIBUTION_CYCLIC_1000_1000_5_4_DYNAMIC.txt, 56.18115000000000000000
1000, 1000, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 8, output_DISTRIBUTION_CYCLIC_1000_1000_5_8_DYNAMIC.txt, 39.21756000000000000000
1000, 1000, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 16, output_DISTRIBUTION_CYCLIC_1000_1000_5_16_DYNAMIC.txt, 39.00484000000000000000
10, 10000, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 2, output_DISTRIBUTION_CYCLIC_10_10000_5_2_DYNAMIC.txt, 9.52593700000000000000
10, 10000, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 4, output_DISTRIBUTION_CYCLIC_10_10000_5_4_DYNAMIC.txt, 4.96670000000000000000
10, 10000, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 8, output_DISTRIBUTION_CYCLIC_10_10000_5_8_DYNAMIC.txt, 4.43551300000000000000
10, 10000, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 16, output_DISTRIBUTION_CYCLIC_10_10000_5_16_DYNAMIC.txt, 4.22469300000000000000
10000, 10, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 2, output_DISTRIBUTION_CYCLIC_10000_10_5_2_DYNAMIC.txt, 9.65280800000000000000
10000, 10, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 4, output_DISTRIBUTION_CYCLIC_10000_10_5_4_DYNAMIC.txt, 5.17930900000000000000
10000, 10, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 8, output_DISTRIBUTION_CYCLIC_10000_10_5_8_DYNAMIC.txt, 4.46598400000000000000
10000, 10, 5, DYNAMIC, DISTRIBUTION, CYCLIC, 16, output_DISTRIBUTION_CYCLIC_10000_10_5_16_DYNAMIC.txt, 4.40976600000000000000
